Language	Lambda	Quantile	Samples
Bulgarian	0.84	1.0	55
Bulgarian	0.86	1.0	55
Bulgarian	0.88	1.0	55
Bulgarian	0.9	1.0	55
Bulgarian	0.92	1.0	55
Bulgarian	0.94	1.0	55
Bulgarian	0.96	1.0	55
Bulgarian	0.98	1.0	55
Catalan	0.0	1.0	53
Catalan	0.02	1.0	53
Catalan	0.04	1.0	53
Catalan	0.06	1.0	53
Catalan	0.08	1.0	53
Catalan	0.1	1.0	53
Catalan	0.12	1.0	53
Catalan	0.14	1.0	53
Catalan	0.16	1.0	53
Catalan	0.18	1.0	53
Catalan	0.2	1.0	53
Catalan	0.22	1.0	53
Catalan	0.24	1.0	53
Catalan	0.26	1.0	53
Catalan	0.28	1.0	53
Catalan	0.3	1.0	53
Catalan	0.32	1.0	53
Catalan	0.34	1.0	53
Catalan	0.36	1.0	53
Catalan	0.38	1.0	53
Catalan	0.4	1.0	53
Catalan	0.42	1.0	53
Catalan	0.44	1.0	53
Catalan	0.46	1.0	53
Catalan	0.48	1.0	53
Catalan	0.5	1.0	53
Catalan	0.52	1.0	53
Catalan	0.54	1.0	53
Catalan	0.56	1.0	53
Catalan	0.58	1.0	53
Catalan	0.6	1.0	53
Catalan	0.62	1.0	53
Catalan	0.64	1.0	53
Catalan	0.66	1.0	53
Catalan	0.68	1.0	53
Catalan	0.7	1.0	53
Catalan	0.72	1.0	53
Catalan	0.74	1.0	53
Catalan	0.76	1.0	53
Catalan	0.78	1.0	53
Catalan	0.8	1.0	53
Catalan	0.82	1.0	53
Catalan	0.84	1.0	53
Catalan	0.86	1.0	53
Catalan	0.88	1.0	53
Catalan	0.9	1.0	53
Catalan	0.92	1.0	53
Catalan	0.94	1.0	53
Catalan	0.96	1.0	53
Catalan	0.98	1.0	53
Chinese	0.0	0.818181812763	55
Chinese	0.02	0.836363613605	55
Chinese	0.04	0.836363613605	55
Chinese	0.06	0.836363613605	55
Chinese	0.08	0.836363613605	55
Chinese	0.1	0.836363613605	55
Chinese	0.12	0.836363613605	55
Chinese	0.14	0.836363613605	55
Chinese	0.16	0.836363613605	55
Chinese	0.18	0.836363613605	55
Chinese	0.2	0.836363613605	55
Chinese	0.22	0.836363613605	55
Chinese	0.24	0.854545474052	55
Chinese	0.26	0.872727274895	55
Chinese	0.28	0.909090936184	55
Chinese	0.3	0.909090936184	55
Chinese	0.32	0.927272737026	55
Chinese	0.34	0.927272737026	55
Chinese	0.36	0.927272737026	55
Chinese	0.38	0.927272737026	55
Chinese	0.4	0.927272737026	55
Chinese	0.42	0.927272737026	55
Chinese	0.44	0.927272737026	55
Chinese	0.46	0.927272737026	55
Chinese	0.48	0.927272737026	55
Chinese	0.5	0.927272737026	55
Chinese	0.52	0.945454537868	55
Chinese	0.54	0.945454537868	55
Chinese	0.56	0.945454537868	55
