Language	Model	Type	Surp
Hindi	7475161	manual_output_funchead_RANDOM3	6.152636005177217
Slovenian	6575098	manual_output_funchead_RANDOM3	7.859362201733755
Korean	2148361	manual_output_funchead_RANDOM3	8.02999762049404
Czech	4797205	manual_output_funchead_RANDOM3	7.2541059013741265
Galician	8710918	manual_output_funchead_RANDOM3	6.598478669903692
Italian	1185366	manual_output_funchead_RANDOM3	6.75910256496639
Estonian	3869248	manual_output_funchead_RANDOM3	8.710426586453059
Finnish	3046314	manual_output_funchead_RANDOM3	8.28708435071426
Croatian	681176	manual_output_funchead_RANDOM3	8.214626092602987
Danish	1662074	manual_output_funchead_RANDOM3	7.513561432293575
Japanese	659996	manual_output_funchead_RANDOM3	6.622971557928966
Afrikaans	3133633	manual_output_funchead_RANDOM3	6.863224334781398
Romanian	9765979	manual_output_funchead_RANDOM3	7.657773900080339
German	9463306	manual_output_funchead_RANDOM3	7.521592132557573
Greek	460122	manual_output_funchead_RANDOM3	7.508806868855157
Belarusian	4283335	manual_output_funchead_RANDOM3	9.18933543947189
Urdu	1207025	manual_output_funchead_RANDOM3	6.5871071911988555
Polish	6964634	manual_output_funchead_RANDOM3	8.81123545945577
Telugu	504261	manual_output_funchead_RANDOM3	8.15376528352499
Persian	2211976	manual_output_funchead_RANDOM3	7.28092014732129
Italian	2615409	manual_output_funchead_RANDOM3	6.8283567768606845
Japanese	811176	manual_output_funchead_RANDOM3	6.660633903077512
Greek	8198489	manual_output_funchead_RANDOM3	7.405594395634134
Portuguese	2032765	manual_output_funchead_RANDOM3	6.447975828882978
Tamil	448799	manual_output_funchead_RANDOM3	9.243620263442583
Danish	7295690	manual_output_funchead_RANDOM3	7.512421392734432
Ancient_Greek	2825953	manual_output_funchead_RANDOM3	7.542746549435384
Italian	476004	manual_output_funchead_RANDOM3	6.686405413502985
Galician	5712756	manual_output_funchead_RANDOM3	6.55035878442755
Chinese	5368928	manual_output_funchead_RANDOM3	8.039236016181546
Belarusian	4544415	manual_output_funchead_RANDOM3	9.16319661200801
Hebrew	5395930	manual_output_funchead_RANDOM3	6.897613546319139
Bulgarian	4252729	manual_output_funchead_RANDOM3	7.817951993313677
Russian	7402723	manual_output_funchead_RANDOM3	7.472642838148372
Indonesian	6148861	manual_output_funchead_RANDOM3	8.035827244015863
Spanish	7193409	manual_output_funchead_RANDOM3	6.2820819235761185
Estonian	7349533	manual_output_funchead_RANDOM3	8.706670506335602
Lithuanian	2770769	manual_output_funchead_RANDOM3	9.318028714791563
Croatian	5408425	manual_output_funchead_RANDOM3	8.222390954205332
French	4914693	manual_output_funchead_RANDOM3	6.174683256431894
Basque	7946224	manual_output_funchead_RANDOM3	8.652501382709048
Japanese	3637723	manual_output_funchead_RANDOM3	6.671925205870655
Greek	9284219	manual_output_funchead_RANDOM3	7.4625413510527405
Dutch	4163643	manual_output_funchead_RANDOM3	7.242039132756835
Japanese	8366949	manual_output_funchead_RANDOM3	6.661279870621475
Catalan	542511	manual_output_funchead_RANDOM3	6.309195667633323
Croatian	2217244	manual_output_funchead_RANDOM3	8.19766718971684
Hebrew	2432614	manual_output_funchead_RANDOM3	6.931250006132527
Bulgarian	523924	manual_output_funchead_RANDOM3	7.86495413608479
Hungarian	4642728	manual_output_funchead_RANDOM3	8.668470223041975
Lithuanian	4785510	manual_output_funchead_RANDOM3	9.306302714551617
Danish	3962823	manual_output_funchead_RANDOM3	7.504603903501313
Irish	5101047	manual_output_funchead_RANDOM3	8.977957517202904
Finnish	9473351	manual_output_funchead_RANDOM3	8.282112196271713
Vietnamese	2635906	manual_output_funchead_RANDOM3	7.801845199448045
Polish	4803555	manual_output_funchead_RANDOM3	8.814386845696013
English	8464595	manual_output_funchead_RANDOM3	6.797203303444508
Arabic	2219726	manual_output_funchead_RANDOM3	7.208841208033227
Chinese	8604702	manual_output_funchead_RANDOM3	8.015366834319984
Urdu	1003843	manual_output_funchead_RANDOM3	6.462507131075243
Hindi	6487321	manual_output_funchead_RANDOM3	6.237185219366011
Romanian	8327140	manual_output_funchead_RANDOM3	7.589979296447359
Irish	7997330	manual_output_funchead_RANDOM3	8.352324248442462
Persian	3081710	manual_output_funchead_RANDOM3	7.220198572337064
Dutch	7204480	manual_output_funchead_RANDOM3	7.272694833349386
Japanese	2179483	manual_output_funchead_RANDOM3	6.635933755265811
Italian	4022807	manual_output_funchead_RANDOM3	6.881797443049265
Arabic	6316613	manual_output_funchead_RANDOM3	7.122691409493536
Estonian	6184738	manual_output_funchead_RANDOM3	8.71810588404638
Greek	8990808	manual_output_funchead_RANDOM3	7.410993868324617
French	7608675	manual_output_funchead_RANDOM3	6.111722884347841
Romanian	5809283	manual_output_funchead_RANDOM3	7.597859903803309
Romanian	9148187	manual_output_funchead_RANDOM3	7.577619536121888
Lithuanian	7447465	manual_output_funchead_RANDOM3	9.299765098271111
Danish	6361582	manual_output_funchead_RANDOM3	7.512893713714438
