Language	Model	Type	BigramCE
Dutch	3025965	manual_output_funchead_RANDOM	6.18253584347
Dutch	3295010960	manual_output_funchead_langmod_coarse_best_balanced	6.1223657785
Dutch	3404431	manual_output_funchead_RANDOM2	6.26004127225
Dutch	3566675	manual_output_funchead_RANDOM	6.1645541465
Dutch	3751254	manual_output_funchead_RANDOM	6.24064665007
Dutch	4640374	manual_output_funchead_RANDOM2	6.24731702889
Dutch	5266995269	manual_output_funchead_two_coarse_lambda09_best_large	6.12968750263
Dutch	6090641	manual_output_funchead_RANDOM	6.27870755333
Dutch	6643281	manual_output_funchead_RANDOM	6.17935070423
Dutch	6955889391	manual_output_funchead_two_coarse_lambda09_best_large	6.15022981813
Dutch	7241557	manual_output_funchead_ground_coarse_final	6.13483563566
Dutch	7445909	manual_output_funchead_coarse_depl	6.15409904567
Dutch	7588115277	manual_output_funchead_two_coarse_parser_best_balanced	6.20879903245
Dutch	8115492	manual_output_funchead_RANDOM	6.20010097779
Dutch	9245259	manual_output_funchead_RANDOM	6.27227334943
Dutch	9427896	manual_output_funchead_RANDOM	6.19864109789
Dutch	9542074	manual_output_funchead_RANDOM2	6.26714221923
Dutch	9863452	manual_output_funchead_RANDOM2	6.16554525446
English	2086490	manual_output_funchead_RANDOM2	5.97075601512
English	2138590	manual_output_funchead_RANDOM	6.0198969582
English	2189630	manual_output_funchead_coarse_depl	5.82839322177
English	2231352	manual_output_funchead_RANDOM2	5.92542110548
English	2459955	manual_output_funchead_RANDOM2	5.94602355084
English	2847244	manual_output_funchead_RANDOM	5.94292635997
English	3066274	manual_output_funchead_RANDOM2	5.96498138848
English	37277	manual_output_funchead_RANDOM	5.95849419272
English	3848887	manual_output_funchead_RANDOM	5.97318148691
English	4147103	manual_output_funchead_RANDOM	5.97328463216
English	4201172	manual_output_funchead_RANDOM2	5.94155916962
English	4579979	manual_output_funchead_RANDOM2	5.96991600592
English	4910096554	manual_output_funchead_two_coarse_lambda09_best_large	5.83078233792
English	5674604	manual_output_funchead_RANDOM	5.97973346769
English	591473	manual_output_funchead_RANDOM	5.95952329393
English	5953198	manual_output_funchead_RANDOM	5.95922165623
English	6285151	manual_output_funchead_RANDOM	5.97264686107
English	6355946	manual_output_funchead_RANDOM2	5.98382896494
English	6448967977	manual_output_funchead_two_coarse_lambda09_best_large	5.83653751367
English	7164858	manual_output_funchead_RANDOM2	5.99457623505
English	750969	manual_output_funchead_RANDOM	5.92238416042
English	7520227	manual_output_funchead_ground_coarse_final	5.82631781244
English	8182900	manual_output_funchead_RANDOM2	5.93941811631
English	9127542	manual_output_funchead_RANDOM2	5.99656348382
English	9187031691	manual_output_funchead_two_coarse_parser_best_balanced	5.85869828473
English	9323106	manual_output_funchead_RANDOM2	5.96491903664
English	9521003471	manual_output_funchead_langmod_coarse_best_balanced	5.8892165338
Estonian	1000765	manual_output_funchead_RANDOM2	7.08824873996
Estonian	1016228	manual_output_funchead_RANDOM2	7.06853055227
Estonian	1185745	manual_output_funchead_RANDOM	7.10645556787
Estonian	1377977	manual_output_funchead_RANDOM	7.07579135937
Estonian	1396102380	manual_output_funchead_two_coarse_parser_best_balanced	7.07523385296
Estonian	1640027993	manual_output_funchead_two_coarse_lambda09_best_large	7.06345022144
Estonian	1902607	manual_output_funchead_RANDOM	7.11482013283
Estonian	208121164	manual_output_funchead_langmod_coarse_best_balanced	7.03502753043
Estonian	3234863	manual_output_funchead_RANDOM	7.12130589228
Estonian	324417	manual_output_funchead_RANDOM	7.05427101734
Estonian	4355847	manual_output_funchead_RANDOM2	7.11268150634
Estonian	453495948	manual_output_funchead_two_coarse_lambda09_best_large	7.03039395577
Estonian	4965187	manual_output_funchead_RANDOM	7.10380378095
Estonian	5270640	manual_output_funchead_RANDOM	7.02503994286
Estonian	60043	manual_output_funchead_RANDOM2	7.12345143525
Estonian	6655757	manual_output_funchead_RANDOM2	7.10900404123
Estonian	7466864	manual_output_funchead_RANDOM2	7.076746571
Estonian	7501952	manual_output_funchead_RANDOM	7.04138185576
Estonian	763803	manual_output_funchead_coarse_depl	7.03295454857
Estonian	7870040	manual_output_funchead_RANDOM	7.12274961184
Estonian	8384977	manual_output_funchead_RANDOM	7.104190193
Estonian	9028408	manual_output_funchead_RANDOM2	7.08273348911
Estonian	9176759	manual_output_funchead_RANDOM2	7.02775912765
Estonian	9179172	manual_output_funchead_RANDOM2	7.07996436181
Estonian	9496546	manual_output_funchead_RANDOM	7.08254735362
Estonian	9635618	manual_output_funchead_RANDOM2	7.11104723154
Estonian	9744919	manual_output_funchead_RANDOM2	7.04689139936
Estonian	9750613	manual_output_funchead_ground_coarse_final	7.04282931416
Finnish	1094622	manual_output_funchead_RANDOM	7.50925848093
Finnish	1742267	manual_output_funchead_ground_coarse_final	7.50227608007
Finnish	1943036	manual_output_funchead_RANDOM2	7.5393618015
Finnish	2180933	manual_output_funchead_RANDOM2	7.54153843939
Finnish	2319061700	manual_output_funchead_two_coarse_lambda09_best_large	7.47822482476
Finnish	2731297	manual_output_funchead_RANDOM2	7.51523453976
Finnish	2886855	manual_output_funchead_RANDOM2	7.52250481607
Finnish	3529350779	manual_output_funchead_two_coarse_lambda09_best_large	7.4641572647
Finnish	3773448	manual_output_funchead_RANDOM2	7.49974221252
